Poursuites pénales et État de droit: le poids de sa parole,14 février 2019, | Alain-Robert Nadeau,Idées
Qu’on entende Jody Wilson-Raybould!,14 février 2019," | 			Manon Cornellier 
",Éditoriaux
Cafouillage et insensibilité dans les dossiers d’immigration annulés,14 février 2019," | 			Robert Dutrisac 
",Éditoriaux
Quand l’émotion l’emporte sur la raison,14 février 2019, | Henri Marineau,Lettres
Un ancien haut gradé d’Apple accusé de délit d’initié,14 février 2019," | 			Le Devoir 
",Économie
Wall Street optimiste,14 février 2019," | 			Agence France-Presse 
",Économie
Agropur annonce de nouvelles compressions de 50 millions,14 février 2019," | 			La Presse canadienne 
",Économie
Québec accorde 17 millions pour les Jeux de la francophonie,14 février 2019," | 			La Presse canadienne 
",Sports
La mairesse Plante voit d’un bon oeil un stade de baseball au bassin Peel,14 février 2019," | 			La Presse canadienne 
",Sports
Le CISSS du Centre-du-Québec reste à ce jour un vague projet,14 février 2019," | 			Isabelle Porter 
",Québec
Quelques clichés du photojournaliste Conrad Poirier,14 février 2019,,Culture
L’Université McGill reçoit un don de 200 millions,14 février 2019," | 			La Presse canadienne 
",Éducation
"Cannabis: risque de contestation du projet  de loi no 2, dit le Barreau",14 février 2019," | 			La Presse canadienne 
",Société
Canadien-Predators: Shea Weber disputera un 900e match dans la LNH,14 février 2019," | 			Alexis Bélanger-Champagne - La Presse canadienne	
",Sports
"F1: Stroll, au volant de sa voiture Racing Point, croit pouvoir aspirer au podium",14 février 2019," | 			Alexandre Geoffrion-McInnis - La Presse canadienne	
",Sports
Brésil: Bolsonaro sort de l’hôpital,14 février 2019," | 			Agence France-Presse 
",Amériques
Soudan: les protestataires veulent la chute du régime,14 février 2019," | 			Agence France-Presse 
",Afrique
Kavis Reed croit avoir «gagné la journée de mardi» avec ses embauches,14 février 2019," | 			Frédéric Daigle - La Presse canadienne	
",Sports
Afghanistan: les talibans annoncent des pourparlers avec les États-Unis,14 février 2019," | 			Agence France-Presse 
",Asie
Sept femmes reprochent à Ryan Adams des comportements inappropriés,14 février 2019," | 			Associated Press 
",Musique
Notre choix ce soir,14 février 2019," | 			Amélie Gaudreau 
",Écrans
"Patrick Damico, un modèle de conscience médicale",14 février 2019, | Lucien Bouchard,Libre opinion
«L’âme à la tendresse» entre au Panthéon,14 février 2019," | 			Le Devoir 
",Musique
Le Monastère ouvre un cabaret de cirque dans une église,14 février 2019," | 			Caroline Montpetit 
",Culture
L’industrie automobile européenne contre un «Brexit dur»,14 février 2019," | 			Daniel Aronssohn - Agence France-Presse	
",Économie
Projet Maestria: 10 millions pour des logements sociaux,14 février 2019," | 			Jeanne Corriveau 
",Montréal
Wawrinka élimine Raonic à Rotterdam; Shapovalov passe en quarts de finale,14 février 2019," | 			La Presse canadienne 
",Sports
Baseball: la route vers les Olympiques passera par Séoul pour le Canada,14 février 2019," | 			La Presse canadienne 
",Sports
Catalogne: la justice espagnole se défend de tenir un «procès politique»,14 février 2019," | 			Agence France-Presse 
",Europe
Venezuela: chute des exportations de pétrole,14 février 2019," | 			Agence France-Presse 
",Économie
L’opération charme de Huawei connaît des ratés,14 février 2019," | 			Associated Press 
",Économie
États-Unis: premier vote possible jeudi au Congrès pour éviter un nouveau «shutdown»,14 février 2019," | 			Agence France-Presse 
",Amériques
Un attentat-suicide fait 27 morts en Iran,14 février 2019," | 			Kay Armin Serjoie - Agence France-Presse	
",Asie
L’humanité sélective,14 février 2019," | 			Michel David 
",Chroniques
La NASA confirme la mort du robot «Opportunity»,14 février 2019," | 			Agence France-Presse 
",Science
SNC-Lavalin décotée par l’agence de notation S&P,14 février 2019," | 			François Desjardins 
",Économie
Un ex-dirigeant de SNC-Lavalin invoque l’arrêt Jordan,14 février 2019," | 			Améli Pineda 
",Société
Des propriétaires de «shoebox» demanderont la tenue de référendums,14 février 2019," | 			Jeanne Corriveau 
",Montréal
Le cannabis mis en cause dans la dépression de certains jeunes adultes,14 février 2019," | 			Annabelle Caillou 
",Santé
La Saskatchewan conteste la «taxe sur le carbone» pour défendre ses champs de compétence,14 février 2019," | 			La Presse canadienne 
",Canada
Nemaska Lithium fait face à d’importants dépassements de coûts,14 février 2019," | 			Karl Rettino-Parazelli 
",Économie
Fermetures d’usines à Bécancour et Victoriaville,14 février 2019," | 			François Desjardins 
",Économie
"Faute de profs, une université forme des suppléants",14 février 2019," | 			Marco Fortier 
",Éducation
La CAQ et le PQ ne veulent pas d’un autre débat public sur la laïcité,14 février 2019," | 			Marco Bélair-Cirino 
",Québec
Le stationnement de la classe moyenne,14 février 2019, | Gérard Laurin,Lettres
Quoi surveiller aujourd’hui?,14 février 2019," | 			Geneviève Tremblay 
",Société
«Ton absence m’appartient»: dans le train de Rose-Aimée,14 février 2019," | 			Dominic Tardif 
",Lire
«Alita: Battle Angel»: défier les limites de la technologie,14 février 2019," | 			Anne-Frédérique Hébert-Dolbec 
",Cinéma
«XENOS»: les destins enchaînés,14 février 2019," | 			Mélanie Carpentier 
",Danse
"Lendemain de tempête: mon pays, c’est l’hiver",14 février 2019," | 			Guillaume Lepage 
",Société
L’avion A380 d’Airbus arrive en bout de piste,14 février 2019," | 			Djallal Malti - Agence France-Presse	
",Économie
Alexandra Suda nommée à la tête du Musée des beaux-arts du Canada,14 février 2019," | 			Philippe Papineau 
",Arts visuels
Le Grincheux du 14 février,14 février 2019," | 			Pascal  
",Canada
Le partage des tâches reste inéquitable,14 février 2019," | 			Pauline Gravel 
",Société
"Un an après la tuerie, l’heure est au silence et au recueillement à Parkland",14 février 2019," | 			Leila Macor - Agence France-Presse	
",États-Unis
Ottawa ferme temporairement son ambassade en Haïti,14 février 2019," | 			Fabien Deglise 
",Amériques
Les libéraux accusés de vouloir étouffer l’affaire,14 février 2019," | 			Hélène Buzzetti 
",Canada
Les cas de rougeole ont bondi de 50% dans le monde en 2018,14 février 2019," | 			Agence France-Presse 
",Santé
"Le procès de Michel Cadotte n’est pas celui du système de santé, prévient la juge",14 février 2019," | 			Améli Pineda 
",Société
