97,Délits sexuels: les fédérations sportives québécoises veulent être épaulées,12 février 2019,Karl Rettino-Parazelli,sports,/sports/547622/les-federations-sportives-reclament-une-entite-independante
98,Assez d’hypocrisie!,12 février 2019,Jean-Robert Sansfaçon,opinion,/opinion/editoriaux/547653/snc-lavalin-assez-d-hypocrisie
99,Québec se pense à l’abri de poursuites d’aspirants immigrants,12 février 2019,Isabelle Porter,politique,/politique/quebec/547647/immigration-des-demandeurs-dejea-auquebec
100,Un accueil tiède pour le film de Denis Côté à la Berlinale,12 février 2019,Odile Tremblay,culture,/culture/cinema/547638/69e-berlinale-un-accueil-mitige-pour-le-film-de-cote
101,Les parents d'Alexandre Bissonnette jugent la peine «très sévère»,12 février 2019,Guillaume Lepage,societe,/societe/547669/les-parents-d-alexandre-bissonnette-jugent-la-peine-tres-severe
102,Le projet immobilier Maestria s’apprête à franchir une nouvelle étape,12 février 2019,Jeanne Corriveau,economie,/economie/547660/le-projet-maestria-s-apprete-a-franchir-une-nouvelle-etape
103,L’animateur Réal Giguère s’est éteint  à l’âge de 85 ans,12 février 2019,La Presse canadienne,culture,/culture/547668/l-animateur-real-giguere-est-decede-a-l-age-de-85-ans
104,La Russie veut se doter d’un internet indépendant des serveurs étrangers,12 février 2019,"Maxime Popov - Agence France-Presse		, 		Olga Rotenberg - Agence France-Presse",monde,/monde/europe/547678/la-russie-veut-se-doter-d-un-internet-independant-des-serveurs-etrangers
105,"Sur «ma» génération, un candide signe de fierté et d’espoir",12 février 2019,Zora Page,opinion,/opinion/libre-opinion/547655/sur-ma-generation-un-candide-signe-de-fierte-et-d-espoir
106,"L’aluminerie de Bécancour, essentielle pour notre région",12 février 2019,Yves Duhaime,opinion,/opinion/idees/547659/l-aluminerie-de-becancour-essentielle-pour-notre-region
107,Le Grincheux du 12 février,12 février 2019,Pascal,politique,/politique/quebec/547684/le-grincheux-du-12-fevrier
108,"L'aide humanitaire entrera bientôt au Venezuela, promet Guaidó",12 février 2019,Maria Isabel Sanchez - Agence France-Presse,monde,/monde/ameriques/547680/au-venezuela-l-opposition-manifeste-pour-que-l-armee-debloque-l-aide-humanitaire
109,Dead Obies va droit au but avec «DEAD.»,12 février 2019,Philippe Renaud,culture,/culture/musique/547633/dead-obies-un-nouveau-disque
110,Les deux oursons blancs du Zoo sauvage de Saint-Félicien se portent bien,12 février 2019,Alexandre Shields,societe,/societe/environnement/547685/les-deux-oursons-blancs-du-zoo-sauvage-de-st-felicien-se-portent-bien
111,Brexit: la pression s’accentue sur Theresa May,12 février 2019,Fabien Deglise,monde,/monde/europe/547618/la-pression-s-accentue-sur-theresa-may
112,"Outremont, un laboratoire pour les élections fédérales ",12 février 2019,Guillaume Bourgault-Côté,politique,/politique/canada/547619/vers-la-fin-de-l-ere-mulcair
113,La Turquie arrête plus de 700 partisans présumés du prédicateur Gülen,12 février 2019,Agence France-Presse,monde,/monde/moyen-orient/547679/641-partisans-presumes-du-predicateur-gulen-arretes-en-turquie
114,Trump éloigne la menace d’un «shutdown» sans renoncer à son mur,12 février 2019,Élodie Cuzin - Agence France-Presse,monde,/monde/etats-unis/547675/les-negociateurs-au-congres-disent-avoir-un-accord-pour-eviter-un-shutdown
115,Enquête du commissaire à l’éthique sur l’«affaire SNC-Lavalin»,12 février 2019,Hélène Buzzetti,politique,/politique/canada/547615/snc-lavalin-une-enquete-ethique-sera-menee-un-comite-est-convoque
116,Le climat de Montréal ressemblera à celui de Philadelphie dans 60 ans,12 février 2019,La Presse canadienne,societe,/societe/environnement/547692/le-climat-de-montreal-ressemblera-a-celui-de-philadelphie-dans-60-ans
117,SOS d'un jardinier japonais après un vol de bonsaïs,12 février 2019,Agence France-Presse,monde,/monde/asie/547688/sos-d-un-jardinier-japonais-apres-un-vol-de-bonsais
118,Le ministre Roberge instaure deux récréations obligatoires d’au moins 20 minutes,12 février 2019,Caroline Plante - La Presse canadienne,politique,/politique/quebec/547707/le-ministre-roberge-instaure-deux-recreations-obligatoires-d-au-moins-20-minutes
119,Début du procès historique des dirigeants indépendantistes catalans,12 février 2019,"Laurence Boutreux - Agence France-Presse		, 		Alvaro Villalobos - Agence France-Presse",monde,/monde/europe/547677/debut-du-proces-historique-des-dirigeants-independantistes-catalans
120,Revisiter Poe sans le regard de Baudelaire,12 février 2019,Caroline Montpetit,lire,/lire/547658/poe-sans-baudelaire
121,Flammèches à la consultation pour hausser l’âge légal pour consommer du cannabis,12 février 2019,Caroline Plante - La Presse canadienne,politique,/politique/quebec/547731/flammeches-a-la-consultation-pour-hausser-l-age-legal-pour-consommer-du-cannabis
122,Renvoi du lanceur d'alerte Louis Robert: la protectrice du citoyen enquête,13 février 2019,Patrice Bergeron - La Presse canadienne,politique,/politique/quebec/547689/renvoi-du-lanceur-d-alerte-louis-robert-la-protectrice-du-citoyen-enquete
123,Place aux Francouvertes!,12 février 2019,Le Devoir,culture,/culture/547649/place-aux-francouvertes
124,André Lamontagne sème à nouveau la controverse,12 février 2019,Guillaume Lepage,societe,/societe/547670/andre-lamontagne-suscite-a-nouveau-la-controverse
125,«Ligue du LOL»: une bande de cyberharceleurs français rattrapée par ses victimes,12 février 2019,Taimaz Szirniks - Agence France-Presse,monde,/monde/europe/547616/ligue-du-lol-une-bande-de-cyberharceleurs-francais-rattrapee-par-ses-victimes
126,Catalogne: un procès à défaut de processus,12 février 2019,François Musseau - Libération,monde,/monde/europe/547631/catalogne-un-proces-a-defaut-de-processus
127,Haïti: 78 détenus s’évadent d’une prison,13 février 2019,Agence France-Presse,monde,/monde/ameriques/547726/haiti-78-detenus-s-evadent-d-une-prison
128,Trump éloigne la menace d’un «shutdown» sans renoncer à son mur,13 février 2019,Agence France-Presse,monde,/monde/ameriques/547706/trump-eloigne-la-menace-d-un-shutdown-sans-renoncer-a-son-mur
129,La Turquie arrête 729 personnes soupçonnées de liens avec le prédicateur Gülen,13 février 2019,Agence France-Presse,monde,/monde/europe/547705/la-turquie-arrete-729-personnes-soupconnees-de-liens-avec-le-predicateur-gulen
